mu_B [MeV],Energy Density [MeV/fm^3],Pressure [MeV/fm^3]
994,122.16894248101464,3.357479170689077
995,122.9189906427413,3.525269756475944
996,123.66441160998566,3.6942645399419636
997,124.40531364421359,3.864450283890435
998,125.1418013271723,4.035814142215273
999,125.87397573427803,4.208343643011859
1000,126.60193459756238,4.38202667264819
1001,127.32577245895604,4.556851460728234
1002,128.04558081457108,4.73280656588629
1003,128.7614482506632,4.909880862356029
1004,129.47346057182378,5.088063527261565
1005,130.18170092196218,5.267344028582209
1006,130.88624989855106,5.447712113747973
1007,131.58718566059133,5.629157798822242
1008,132.28458403393685,5.8116713585671125
1009,132.9785185979988,5.995243315681502
1010,133.66906079113048,6.1798644329541
1011,134.35627996899072,6.36552570145061
1012,135.04024355116476,6.552218339005184
1013,135.72101702058336,6.739933773851422
1014,136.39866404687558,6.9286636422803225
1015,137.07324653702568,7.118399779242596
1016,137.74482471802997,7.3091342132087265
1017,138.413457171246,7.500859156197542
1018,139.0792009393015,7.69356700283995
1019,139.74211154185147,7.887250319501876
1020,140.40224304906735,8.08190184067255
1021,141.0596481314969,8.27751446316908
1022,141.71437810990125,8.474081240855158
1023,142.36648300296073,8.671595379602243
1024,143.01601157285424,8.87005023246801
1025,143.6630113687952,9.069439295076046
1026,144.30752876865193,9.269756201188429
1027,144.9496090187309,9.470994718458757
1028,145.5892962733114,9.67314874455753
1029,146.22663362476922,9.876212302408588
1030,146.86166314853264,10.08017953779577
1031,147.49442592938829,10.285044714800776
1032,148.12496209532296,10.490802212582054
1033,148.75331084818131,10.697446522038627
1034,149.37951049307665,10.9049722426018
1035,150.00359846749836,11.113374079247608
1036,150.62561136417182,11.322646839067753
1037,151.24558495604654,11.53278542853344
1038,151.86355426082946,11.74378485389637
1039,152.47955347284733,11.955640210795476
1040,153.0936160816248,12.16834668980399
1041,153.70577484586326,12.381899569859225
1042,154.3160618245792,12.596294216729818
1043,154.92450839769344,12.811526080730212
1044,155.53114529205385,13.027590695516501
1045,156.13600257829202,13.244483672393423
1046,156.73910971830367,13.46220070290779
1047,157.34049556572074,13.68073755411412
1048,157.94018838677437,13.90009006725945
1049,158.5382158767007,14.120254155920245
1050,159.1346051759831,14.341225804272453
1051,159.72938288419166,14.563001065110345
1052,160.32257507650408,14.785576058461533
1053,160.9142073744254,15.00894697989525
1054,161.50430475066534,15.233110062391924
1055,162.09289182734634,15.45806162452369
1056,162.6799927158085,15.683798038866376
1057,163.2656310686428,15.910315737457466
1058,163.84983009163707,16.13761121040552
1059,164.4326123291916,16.365680962293712
1060,165.01400054367258,16.594521672611165
1061,165.59401647607476,16.824129962185644
1062,166.17268165665715,17.05450254031135
1063,166.75001722293874,17.285636168006704
1064,167.32604392949474,17.517527656858285
1065,167.90078215760525,17.75017386794588
1066,168.47425192380155,17.983571710571475
1067,169.04647288952958,18.21771814141532
1068,169.6174643698603,18.452610163546975
1069,170.18724534094488,18.688244825156854
1070,170.75583444880516,18.92461921879243
1071,171.3232500170133,19.161730480365883
1072,171.88951005430454,19.399575788238565
1073,172.45463226196256,19.63815236233074
1074,173.01863404098157,19.877457463255762
1075,173.5815324990175,20.117488391478734
1076,174.14334445713422,20.358242486497165
1077,174.70408645635104,20.59971712604405
1078,175.26377476400168,20.84190972531271
1079,175.82242537990712,21.084817736201952
1080,176.380054042372,21.32843864658107
1081,176.93667623401151,21.57276997957466
1082,177.49230718741046,21.817809292865874
1083,178.0469618906244,22.063554178017597
1084,178.60065509252658,22.31000225981142
1085,179.15340130800564,22.557151195603502
1086,179.7052148230203,22.804998674696762
1087,180.2561096995134,23.053542417729126
1088,180.8060997801941,23.3027801760769
1089,181.35519869318918,23.55270973127316
1090,181.90341985656835,23.803328894440597
1091,182.45077648274912,24.054635505738545
1092,182.9972815827837,24.3066274338232
1093,183.54294797053151,24.55930257532148
1094,184.0877882667231,24.812658854317142
1095,184.63181490291691,25.066694221849684
1096,185.1750401253531,25.32140665542498
1097,185.71747599870747,25.576794158537727
1098,186.2591344097492,25.83285476020509
1099,186.80002707090443,26.08958651451133
1100,187.34016552372873,26.346987500163202
1101,187.87956114229348,26.605055820055533
1102,188.41822513648495,26.863789600846797
1103,188.95616855522155,27.123186992544877
1104,189.49340228959178,27.38324616810166
1105,190.0299370759137,27.64396532301742
1106,190.56578349871867,27.905342674953474
1107,191.10095199366322,28.167376463354586
1108,191.63545285036957,28.4300649490785
1109,192.16929621519662,28.693406414034868
1110,192.70249209394495,28.957399160831464
1111,193.23505035449733,29.22204151242845
1112,193.76698072939487,29.48733181180003
1113,194.29829281835427,29.753268421603657
1114,194.82899609072308,30.01984972385618
1115,195.35909988787952,30.287074119617248
1116,195.88861342557544,30.554940028679322
1117,196.41754579622486,30.82344588926413
1118,196.94590597113904,31.092590157725628
1119,197.4737028027122,31.362371308259533
1120,198.00094502655423,31.632787832618632
1121,198.52764126357744,31.90383823983384
1122,199.05380002203543,32.1755210559417
1123,199.57942969951452,32.447834823716704
1124,200.10453858488296,32.720778102409845
1125,200.62913486019414,32.99434946749192
1126,201.1532266025503,33.26854751040229
1127,201.67682178592133,33.543370838302906
1128,202.19992828292837,33.81881807383698
1129,202.7225538665843,34.0948878548925
1130,203.24470621199941,34.371578834370844
1131,203.7663928980486,34.6488896799593
1132,204.2876214090026,34.92681907390901
1133,204.8083991361238,35.20536571281619
1134,205.32873337922683,35.48452830740854
1135,205.84863134820748,35.76430558233524
1136,206.3681001645397,36.04469627596131
1137,206.88714686274193,36.32569914016578
1138,207.40577839181086,36.60731294014375
1139,207.92400161662675,36.88953645421223
1140,208.4418233193282,37.17236847361988
1141,208.95925020065832,37.455807802359864
1142,209.47628888128392,37.73985325698678
1143,209.99294590308804,38.02450366643654
1144,210.5092277304344,38.30975787184993
1145,211.02514075140775,38.59561472639939
1146,211.5406912790292,38.88207309511875
1147,212.0558855524458,39.16913185473639
1148,212.57072973809747,39.45678989351155
1149,213.08522993085995,39.74504611107294
1150,213.5993921551655,40.033899418261186
1151,214.11322236610104,40.323348736973536
1152,214.6267264504846,40.6133930000116
1153,215.1399102279214,40.90403115093141
1154,215.65277945183814,41.195262143897004
1155,216.16533981049795,41.48708494353567
1156,216.67759692799584,41.779498524796374
1157,217.18955636523378,42.072501872810236
1158,217.70122362087903,42.366093982753895
1159,218.21260413225238,42.66027385971168
1160,218.72370327644703,42.95504051855667
1161,219.2345263709362,43.250392983801106
1162,219.74507867465684,43.5463302894818
1163,220.25536538864037,43.84285147896205
1164,220.7653916575793,44.13995560506993
1165,221.27516256985427,44.43764172968484
1166,221.78468315819288,44.73590892354094
1167,222.29395840151517,45.0347562665146
1168,222.80299322494986,45.33418284721059
1169,223.31179250079816,45.63418776292081
1170,223.8203610492984,45.93477011951327
1171,224.328703639375,46.23592903132262
1172,224.83682498937142,46.53766362104163
1173,225.34472976777488,46.83997301961605
1174,225.8524225939239,47.14285636613991
1175,226.35990803870413,47.44631280775289
1176,226.86719062523457,47.75034149954008
1177,227.37427482953694,48.05494160443209
1178,227.8811650811967,48.3601122931079
1179,228.38786576401176,48.66585274389879
1180,228.89438121662846,48.97216214269388
1181,229.40071573316794,49.27903968284716
1182,229.90687356384078,49.58648456508613
1183,230.41285891555034,49.89449599742155
1184,230.91867595248812,50.203073195059005
1185,231.42432879671634,50.51221538031226
1186,231.9298215332996,50.82192179254878
1187,232.43515819260784,51.13219164812951
1188,232.94034277828155,51.4430242000537
1189,233.44537924950012,51.7544186982194
1190,233.95027152608338,52.06637439921732
1191,234.45502348901815,52.37889056624954
1192,234.95963898097568,52.691966469052595
1193,235.46412180647908,53.00560137445552
1194,235.9684757339138,53.31979458365807
1195,236.47270449353937,53.63454537628479
1196,236.97681177976267,53.94985304745026
1197,237.48080125113594,54.26571689842849
1198,237.98467653082432,54.582136236582556
1199,238.4884412070649,54.89911037529511
1200,238.99209883361908,55.21663863389848
1201,239.49565293021777,55.534720337606714
1202,239.9991069829989,55.85335481744809
1203,240.50246444493894,56.17254141019903
1204,241.0057287362761,56.4922794583187
1205,241.5089032449279,56.812568309884846
1206,242.01199132690152,57.13340731853029
1207,242.5149963066972,57.454795843380374
1208,243.017921477706,57.77673324899186
1209,243.520770102601,58.09921890529181
1210,244.0235454137217,58.4222521875181
1211,244.52625061345356,58.745832476160494
1212,245.0288888746001,59.06995915690215
1213,245.53146334075055,59.39463162056305
1214,246.03397712664108,59.719849263042995
1215,246.53643331851032,60.045611485266086
1216,247.03883497444934,60.371917693126065
1217,247.54118512474696,60.69876729743196
1218,248.04348677222893,61.026159713854966
1219,248.54574289259213,61.35409436287566
1220,249.04795643473392,61.68257066973224
1221,249.5501303210757,62.01158806436935
1222,250.052267447883,62.34114598138769
1223,250.5543706855792,62.67124385999413
1224,251.05644287905514,63.00188114395278
1225,251.55848684797425,63.333057281536654
1226,252.06050538707322,63.6647717254795
1227,252.56250126645688,63.99702393292948
1228,253.06447723189095,64.32981336540193
1229,253.56643600508795,64.66313948873413
1230,254.06838028399136,64.9970017730395
1231,254.57031274305288,65.33139969266381
1232,255.07223603350826,65.66633272614025
1233,255.57415278364707,66.0018003561469
1234,256.0760655990797,66.33780206946304
1235,256.5779770629999,66.67433735692762
1236,257.07988973644365,67.011405713397
1237,257.58180615854434,67.34900663770414
1238,258.0837288467843,67.68713963261759
1239,258.5856602972427,68.02580420480196
1240,259.0876029848393,68.36499986477769
1241,259.5895593635757,68.70472612688243
1242,260.09153186677247,69.04498250923241
1243,260.5935229073032,69.38576853368426
1244,261.09553487782506,69.7270837257973
1245,261.59757015100604,70.06892761479716
1246,262.09963107974926,70.41129973353816
1247,262.6017199974139,70.754199618468
1248,263.10383921803316,71.09762680959152
1249,263.60599103652885,71.44158085043584
1250,264.1081777289235,71.78606128801525
1251,264.6104015525495,72.13106767279734
1252,265.11266474625415,72.47659955866858
1253,265.6149695306039,72.8226565029009
1254,266.11731810808396,73.16923806611904
1255,266.6197126632962,73.51634381226755
1256,267.12215536315387,73.86397330857832
1257,267.62464835707385,74.21212612553948
1258,268.1271937771663,74.56080183686304
1259,268.62979373842137,74.91000001945446
1260,269.1324503388941,75.25972025338196
1261,269.6351656598862,75.6099621218454
1262,270.1379417661254,75.96072521114743
1263,270.64078070594326,76.31200911066317
1264,271.1436845114496,76.66381341281111
1265,271.64665519870465,77.01613771302458
1266,272.14969476788986,77.36898160972258
1267,272.65280520347574,77.72234470428245
1268,273.1559884743865,78.07622660101113
1269,273.6592465341649,78.43062690711847
1270,274.1625813211324,78.78554523268942
1271,274.66599475854895,79.1409811906576
1272,275.1694887547697,79.4969343967786
1273,275.67306520340026,79.85340446960377
1274,276.1767259834494,80.2103910304544
1275,276.6804729594803,80.56789370339602
1276,277.18430798175973,80.92591211521312
1277,277.68823288640465,81.28444589538421
1278,278.19224949552813,81.64349467605699
1279,278.69635961738237,82.00305809202392
1280,279.2005650465001,82.36313578069824
1281,279.7048675638347,82.72372738209003
1282,280.20926893689784,83.08483253878252
1283,280.71377091989564,83.4464508959088
1284,281.2183752538637,83.80858210112899
1285,281.7230836667989,84.17122580460729
1286,282.2278978737911,84.53438165898919
1287,282.7328195771529,84.89804931937971
1288,283.2378504665465,85.26222844332119
1289,283.7429922191107,85.6269186907712
1290,284.248246499585,85.99211972408172
1291,284.75361496043337,86.35783120797733
1292,285.25909924196463,86.72405280953392
1293,285.76470097245385,87.09078419815889
1294,286.27042176825984,87.45802504556954
1295,286.7762632339428,87.82577502577344
1296,287.28222696237975,88.19403381504786
1297,287.78831453487896,88.56280109192024
1298,288.2945275212921,88.93207653714828
1299,288.8008674801271,89.30185983370062
1300,289.3073359586566,89.67215066673748
1301,289.8139344930278,90.04294872359195
1302,290.32066460836967,90.41425369375077
1303,290.82752781889883,90.786065268836
1304,291.33452562802455,91.15838314258644
1305,291.8416595284524,91.53120701083964
1306,292.3489310022867,91.90453657151379
1307,292.85634152113164,92.27837152458979
1308,293.36389254619064,92.65271157209388
1309,293.871585528366,93.02755641807991
1310,294.37942190835594,93.40290576861247
